"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","não deve permitir registrar mensagem com o campo usuario com menos de 7 caracteres","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","22","deve permitir registrar uma mensagem","model: mensagem","Tue Nov 11 22:18:04 UTC 2025","passed","Tue Nov 11 22:18:04 UTC 2025","","contexto: registrar","",""
"","13","deve permitir registrar uma mensagem valida.","modelo: mensagem","Tue Nov 11 22:18:02 UTC 2025","passed","Tue Nov 11 22:18:02 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","","deve permitir listar uma mensagem por ID","context: listar","Tue Nov 11 21:37:47 UTC 2025","skipped","","","","",""
"","1","não deve permitir registrar mensagem com o campo usuario com mais de 10 caracteres","modelo: mensagem","Tue Nov 11 22:18:02 UTC 2025","passed","Tue Nov 11 22:18:02 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","","não deve permitir registrar mensagem sem o campo conteúdo","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","11","deve permitir registrar mensagem via requisição","gerir mensagens","Tue Nov 11 22:18:06 UTC 2025","passed","Tue Nov 11 22:18:06 UTC 2025","","","",""
"","2","deve lançar o erro quando a mensagem por ID não existir","context: listar","Tue Nov 11 22:18:01 UTC 2025","passed","Tue Nov 11 22:18:01 UTC 2025","","","",""
"","13","deve permitir buscar mensagem via requisição por id","controller: mensagem","Tue Nov 11 22:18:04 UTC 2025","passed","Tue Nov 11 22:18:04 UTC 2025","","contexto: buscar","",""
"","","deve permitir registrar mensagem via requisição","controller: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: registra","",""
"","","deve permitir remover uma mensagem existente","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: remover","",""
"","51","deve permitir registrar mensagem","gerir mensagens","Tue Nov 11 22:18:06 UTC 2025","passed","Tue Nov 11 22:18:06 UTC 2025","","","",""
"","1","não deve permitir registrar mensagem sem o campo conteúdo","modelo: mensagem","Tue Nov 11 22:18:02 UTC 2025","passed","Tue Nov 11 22:18:02 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","24","deve permitir registrar mensagem","service: mensagem","Tue Nov 11 22:18:01 UTC 2025","passed","Tue Nov 11 22:18:01 UTC 2025","","contexto: registrar","",""
"","1","deve permitir listar todas as mensagens","context: listar","Tue Nov 11 22:18:01 UTC 2025","passed","Tue Nov 11 22:18:01 UTC 2025","","","",""
"","","deve permitir registrar uma mensagem valida.","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","38","deve retornar erro ao registrar mensagem via requisição","controller: mensagem","Tue Nov 11 22:18:01 UTC 2025","passed","Tue Nov 11 22:18:01 UTC 2025","","contexto: registra","",""
"","2","deve retornar null ao buscar uma mensagem com ID inexistente","modelo: mensagem","Tue Nov 11 22:18:02 UTC 2025","passed","Tue Nov 11 22:18:02 UTC 2025","deve permitir buscar uma mensagem","contexto: buscar","",""
"","","deve retornar null ao buscar uma mensagem com ID inexistente","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir buscar uma mensagem","contexto: buscar","",""
