"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","deve lançar o erro quando a mensagem por ID não existir","context: listar","Tue Nov 11 21:37:47 UTC 2025","skipped","","","","",""
"","1","não deve permitir registrar mensagem sem o campo conteúdo","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","","deve retornar null ao buscar uma mensagem com ID inexistente","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir buscar uma mensagem","contexto: buscar","",""
"","12","deve permitir registrar mensagem","service: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","contexto: registrar","",""
"","2","não deve permitir registrar mensagem com o campo usuario vazio","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","8","deve lançar erro ao registrar mensagem","service: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","contexto: registrar","",""
"","","deve permitir listar todas as mensagens","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: listar, ","",""
"","","não deve permitir registrar mensagem sem o campo usuario","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","","não deve permitir registrar mensagem sem o campo conteúdo","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","8","deve permitir remover uma mensagem existente","model: mensagem","Tue Nov 11 22:27:12 UTC 2025","passed","Tue Nov 11 22:27:12 UTC 2025","","contexto: remover","",""
"","16","deve permitir buscar mensagem via requisição por id","controller: mensagem","Tue Nov 11 22:27:12 UTC 2025","passed","Tue Nov 11 22:27:12 UTC 2025","","contexto: buscar","",""
"","2","deve gerar exceção quando houver erro ao obter mensagens","context: listar","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","","",""
