"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","deve permitir listar todas as mensagens mesmo que não existam","context: listar","Tue Nov 11 21:50:36 UTC 2025","passed","Tue Nov 11 21:50:36 UTC 2025","","","",""
"","","não deve permitir registrar mensagem com o campo usuario vazio","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","","não deve permitir registrar mensagem com o campo conteúdo vazio","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","","deve permitir registrar uma mensagem valida.","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","","deve permitir buscar uma mensagem por id.","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir buscar uma mensagem","contexto: buscar","",""
"","4","deve permitir listar todas as mensagens","modelo: mensagem","Tue Nov 11 21:50:37 UTC 2025","passed","Tue Nov 11 21:50:37 UTC 2025","","contexto: listar, ","",""
"","48","deve permitir registrar mensagem","gerir mensagens","Tue Nov 11 21:50:40 UTC 2025","passed","Tue Nov 11 21:50:40 UTC 2025","","","",""
"","","não deve permitir registrar mensagem com o campo usuario com menos de 7 caracteres","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","","deve permitir listar todas as mensagems mesm que não exista","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: listar, ","",""
"","","deve retornar erro ao registrar mensagem via requisição","controller: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: registra","",""
"","10","deve permitir registrar mensagem via requisição","gerir mensagens","Tue Nov 11 21:50:41 UTC 2025","passed","Tue Nov 11 21:50:41 UTC 2025","","","",""
"","12","deve permitir registrar uma mensagem valida.","modelo: mensagem","Tue Nov 11 21:50:37 UTC 2025","passed","Tue Nov 11 21:50:37 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","1","não deve permitir registrar mensagem com o campo conteúdo vazio","modelo: mensagem","Tue Nov 11 21:50:37 UTC 2025","passed","Tue Nov 11 21:50:37 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","","deve permitir listar uma mensagem por ID","context: listar","Tue Nov 11 21:37:47 UTC 2025","skipped","","","","",""
"","47","deve permitir registrar mensagem via requisição","controller: mensagem","Tue Nov 11 21:50:39 UTC 2025","passed","Tue Nov 11 21:50:39 UTC 2025","","contexto: registrar","",""
"","","deve permitir listar todas as mensagens","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: listar, ","",""
"","1","não deve permitir registrar mensagem com o campo usuario com mais de 10 caracteres","modelo: mensagem","Tue Nov 11 21:50:37 UTC 2025","passed","Tue Nov 11 21:50:37 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","1","não deve permitir registrar mensagem com o campo usuario vazio","modelo: mensagem","Tue Nov 11 21:50:37 UTC 2025","passed","Tue Nov 11 21:50:37 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","34","deve retornar erro ao registrar mensagem via requisição","controller: mensagem","Tue Nov 11 21:50:36 UTC 2025","passed","Tue Nov 11 21:50:36 UTC 2025","","contexto: registra","",""
"","3","não deve permitir registrar mensagem sem o campo usuario","modelo: mensagem","Tue Nov 11 21:50:37 UTC 2025","passed","Tue Nov 11 21:50:37 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","6","deve permitir buscar uma mensagem por id.","modelo: mensagem","Tue Nov 11 21:50:37 UTC 2025","passed","Tue Nov 11 21:50:37 UTC 2025","deve permitir buscar uma mensagem","contexto: buscar","",""
"","","deve retornar null ao buscar uma mensagem com ID inexistente","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir buscar uma mensagem","contexto: buscar","",""
"","4","deve permitir listar uma mensagem por ID","context: listar","Tue Nov 11 21:50:36 UTC 2025","passed","Tue Nov 11 21:50:36 UTC 2025","","","",""
"","17","deve permitir registrar mensagem via requisição","controller: mensagem","Tue Nov 11 21:50:36 UTC 2025","passed","Tue Nov 11 21:50:36 UTC 2025","","contexto: registra","",""
"","1","não deve permitir registrar mensagem com o campo usuario com menos de 7 caracteres","modelo: mensagem","Tue Nov 11 21:50:37 UTC 2025","passed","Tue Nov 11 21:50:37 UTC 2025","deve permitir registrar","contexto: registrar","",""
